Name,Release_Date
007: Agent Under Fire,
4x4 Evolution,29 Oct 2000
2002 FIFA World Cup,26 Apr 2002
Age of Sail II,14 Jan 2001
Age of Empires II: The Conquerors,24 Aug 2001
Adventure Quest,1 Oct 2001
Adventure Pinball - Forgotten Island,21 Mar 2001
8BitMMO,1 Jan 2001
4x4 Evo 2,27 May 2002
3D Pinball for Windows - Space Cadet,24 Aug 2001
1nsane,1 Jan 2001
Blair Witch Volume 2: The Legend of Coffin Rock,25 Oct 2000
Blair Witch Volume 1: Rustin Parr,3 Oct 2000
Baldurs Gate II: Shadows of Amn,24 Sep 2000
B17 Flying Fortress: The Mighty 8th,31 Dec 2000
Arthurs Knights: Tales of Chivalry,31 Oct 2000
Arthurs Knights,31 Oct 2000
American McGees Alice,6 Oct 2000
Aliens Versus Predator Classic 2000,28 Mar 2000
Airfix Dogfighter,14 Jan 2000
18 Wheels of Steel: Across America,1 Jan 2003
Archangel,19 Nov 2002
Aliens versus Predator 2: Primal Hunt,16 Aug 2002
Age of Wonders II: The Wizards Throne,20 Sep 2002
Age of Mythology,1 Nov 2002
Ace Lightning,29 Nov 2002
3D SexVilla 2: Everlust,20 Apr 2002
Aztec: The Curse in the Heart of the City of Gold,11 Jun 2001
Atlantis III: The New World,23 Nov 2001
Arcanum: Of Steamworks and Magick Obscura,21 Aug 2001
AquaNox,30 Nov 2001
Anarchy Online,24 Jun 2001
Anachronox,27 Jun 2001
Alone in the Dark: The New Nightmare,25 Jun 2001
Aliens versus Predator 2,30 Oct 2001
Combat Mission Beyond Overlord,1 Jun 2000
Carmageddon TDR 2000,14 Dec 2000
Call to Power II,1 Nov 2000
Cabelas GrandSlam Hunting: North American 29,10 Jun 2000
Cabelas Big Game Hunter 4,15 Feb 2000
Bugs Bunny and Taz: Time Busters,8 Dec 2000
Blair Witch Volume 3: The Elly Kedward Tale,21 Nov 2000
Armed and Dangerous,2 Dec 2003
AquaNox 2: Revelation,22 Aug 2003
Anno 1503: The New World,4 Apr 2003
American Conquest: Fight Back,5 Feb 2003
American Conquest,14 Feb 2003
Alien Shooter,15 Sep 2003
Air Strike 3D: Operation W.A.T.,15 May 2003
Age of Wonders: Shadow Magic,25 Jul 2003
Age of Mythology: The Titans,30 Sep 2003
Big Mutha Truckers,27 Nov 2002
Beach Life,6 Sep 2002
Battlefield 1942,10 Sep 2002
Battle Realms Winter Of The Wolf,5 Nov 2002
Batman: Vengeance,6 Sep 2002
Bandits: Phoenix Rising,11 Oct 2002
Avernum 3,19 Sep 2002
Arx Fatalis,11 Nov 2002
Army Men: RTS,28 Mar 2002
Cabelas 4x4 Off-Road Adventure,20 Feb 2001
Blade of Darkness,21 Feb 2001
Black & White,25 Mar 2001
Bejeweled,30 May 2001
Cabelas Big Game Hunter: 2004 Season,26 Aug 2003
Brother Bear,11 Nov 2003
Broken Sword 3: The Sleeping Dragon,14 Nov 2003
Bookworm Deluxe!,25 Feb 2003
BlowOut,28 Oct 2003
BloodRayne,9 Sep 2003
Blitzkrieg,4 Jun 2003
Big Rigs: Over the Road Racing,20 Nov 2003
Beyond Good & Evil,5 Dec 2003
Battlefield 1942: Secret Weapons of WWII,4 Sep 2003
Battlefield 1942 The Road to Rome,2 Feb 2003
Battle Engine Aquila,2 Nov 2003
Chicken Shoot,28 Nov 2003
Chaser,30 Aug 2003
Chariots of War,31 Jul 2003
Chaos Legion,5 Aug 2003
Casino Inc.,26 Mar 2003
Call of Duty,29 Oct 2003
Cabelas GrandSlam Hunting: 2004 Trophies,28 Aug 2003
Cabelas Dangerous Hunts,11 Nov 2003
Dirt Track Racing 2,1 Sep 2002
Die Hard: Nakatomi Plaza,22 Apr 2002
Demonstar Secret Missions 1,30 May 2002
Delta Force: Task Force Dagger,27 Jun 2002
Deadly Dozen: Pacific Theater,31 Oct 2002
Diablo II - Lord of Destruction,29 Jun 2001
Contract J.A.C.K.,11 Nov 2003
Conflict: Desert Storm II,19 Sep 2003
Commandos 3: Destination Berlin,24 Oct 2003
Command & Conquer: Generals Zero Hour,22 Sep 2003
Command & Conquer: Generals,10 Feb 2003
Colin McRae Rally 3,30 Jan 2003
Cold Zero,22 Aug 2003
Civilization III: Conquests,4 Nov 2003
FIFA Football 2003,25 Oct 2002
Far West,6 Nov 2002
Empire Earth: The Art of Conquest,4 Oct 2002
Emperor: Rise of the Middle Kingdom,9 Sep 2002
EA sports cricket 2002,28 Jun 2002
Dungeon Siege,5 Apr 2002
Duke Nukem: Manhattan Project,14 Jun 2002
Divine Divinity,22 Sep 2002
Disciples II: Dark Prophecy,24 Jan 2002
Extermination,
Evil Dead: Hail to the King,27 Mar 2001
Empire Earth,12 Nov 2001
Emperor: Battle For Dune,12 Jun 2001
EA Sports F1 2001,3 Oct 2001
Dragonriders: Chronicles of Pern,12 Aug 2001
In Cold Blood,20 Oct 2000
Icewind Dale,30 Jun 2000
Homeworld: Cataclysm,30 Jun 2000
Hogs of War,3 Nov 2000
Hitman: Codename 47,23 Sep 2000
Heroes of Might and Magic III: The Shadow of Death,31 Mar 2000
Ground Control: Dark Conspiracy,14 Dec 2000
Ground Control,1 Jun 2000
Another World: 15th Anniversary Edition,14 Apr 2006
Anno 1701,26 Oct 2006
American Conquest: Divided Nation,27 Mar 2006
Diner Dash,3 Dec 2003
Devil Whiskey,1 Dec 2003
Devastation,25 Mar 2003
Deus Ex: Invisible War,2 Dec 2003
Desert Thunder,19 Nov 2003
Delta Force: Black Hawk Down,24 Mar 2003
Day of the Tentacle,1 Jun 2003
Dark Fall: The Journal,23 Jul 2003
Daikatana,23 May 2003
Curse: The Eye of Isis,21 Oct 2003
CTU: Marine Sharpshooter,17 Mar 2003
Crimsonland,1 Jan 2003
Hitman 2: Silent Assassin,4 Oct 2002
Finding Nemo,Unknown
Final Fantasy XI,28 Oct 2003
FIFA Football 2004,18 Oct 2003
Fable,14 Oct 2003
F1 Challenge 99-02,24 Jun 2003
Entropia Universe,30 Jan 2003
Enter The Matrix,15 May 2003
Enclave,12 Sep 2003
Empires: Dawn of the Modern World,21 Oct 2003
Dungeon Siege: Legends of Aranna,11 Nov 2003
DownTown Run,28 Mar 2003
Disciples II: Rise of the Elves,25 Nov 2003
Dino Crisis 2,11 Apr 2003
Matt Hayes Fishing,20 Mar 2002
Magic: The Gathering Online,24 Jun 2002
Mafia,28 Aug 2002
Haegemonia: The SOLON Heritage,24 Oct 2003
Gun Metal,23 Sep 2003
Guilty Gear XX,28 Mar 2003
Grom - Terror in Tibet !,12 Mar 2003
Grand Theft Auto: Vice City,15 May 2003
Gothic 2:Night of the raven,22 Aug 2003
Gothic 2,13 Jun 2003
Gladiator: Sword of Vengeance,5 Dec 2003
Ghost Master,23 May 2003
Geneforge 2,1 Jul 2003
Freelancer,4 Mar 2003
Freedom Fighters,26 Sep 2003
Ford Racing 2,28 Oct 2003
Nancy Drew: Ghost Dogs Of Moon Lake,9 Sep 2002
Moto Racer 3,31 Jan 2002
Moonbase Commander,13 Aug 2002
Might and Magic IX,29 Mar 2002
Microsoft Combat Flight Simulator 3: Battle For Europe,24 Oct 2002
Medieval: Total War,30 Aug 2002
Medal of Honor: Allied Assault: Spearhead,11 Nov 2002
Medal of Honor: Allied Assault,22 Jan 2002
MechWarrior 4: Vengeance,7 Nov 2002
MechWarrior 4: Mercenaries,7 Nov 2002
Maximo: Ghost to Glory,
NHL 2002,17 Sep 2001
Necronomicon: The Dawning of Darkness,2001
NASCAR Thunder 2002,
Nancy Drew: Treasure in the Royal Tower,21 Jun 2001
Hulk,27 May 2003
Hot Wheels World Race,19 Nov 2003
Homeworld 2,16 Sep 2003
Hidden and Dangerous 2,21 Oct 2003
Heroes of Might and Magic IV: Winds of War,25 Feb 2003
Harry Potter: Quidditch World Cup,28 Oct 2003
Halo: Combat Evolved,10 Oct 2003
Half-Life: Counter Strike,15 Sep 2003
Project Nomads,5 Nov 2002
Prisoner of War,17 Sep 2002
Live For Speed,13 Jun 2003
Line of Sight: Vietnam,5 Mar 2003
Legacy of Kain: Defiance,17 Dec 2003
Korea: Forgotten Conflict,17 Nov 2003
Knights of the Old Republic,12 Sep 2003
Kingdom of Loathing,23 Feb 2003
Jurassic Park: Operation Genesis,28 Mar 2003
Judge Dredd: Dredd vs. Death,17 Oct 2003
IndyCar Series,23 Sep 2003
Indiana Jones and the Emperors Tomb,28 Mar 2003
IL-2 Sturmovik: Forgotten Battles,21 Mar 2003
Soldat,23 Aug 2002
Solaris 104,27 Mar 2002
Simon the Sorcerer 3D,13 Apr 2002
Sherlock Holmes: The Mystery of the Mummy,29 Dec 2002
Rollercoaster Tycoon 2,18 Oct 2002
Robin Hood: The Legend of Sherwood,1 Jan 2002
Midnight Club 2,9 Apr 2003
Microsoft Flight Simulator 2004: A Century of Flight,29 Jul 2003
Medal of Honor: Allied Assault - Breakthrough,22 Sep 2003
Max Payne 2: The Fall of Max Payne,15 Oct 2003
Marble blaster,17 Jun 2003
Madden NFL 2004,11 Aug 2003
Lord of the Rings: War of the Ring,8 Nov 2003
Lord of the Rings: The Return of the King,14 Nov 2003
London Racer World Challenge,19 Sep 2003
Lock On: Modern Air Combat,20 Nov 2003
Tekken 4,
Tactical Ops: Assault On Terror,24 Apr 2002
Syberia,1 Sep 2002
Sven Bomwollen,1 Jan 2002
Sudden Strike 2,30 Aug 2002
Stronghold Crusader,25 Sep 2002
Strategic Command: European Theater,16 Jul 2002
Star Wars Jedi Knight II: Jedi Outcast,26 Mar 2002
Star Trek: Starfleet Command III,21 Nov 2002
Star Trek: Bridge Commander,27 Feb 2002
Splinter Cell,17 Nov 2002
Soldiers of Anarchy,22 Oct 2002
Soldier of Fortune II: Double Helix,20 May 2002
Star Wars Galactic Battlegrounds,23 Nov 2001
Star Trek: Voyager Elite Force,4 May 2001
Star Trek - Away Team,19 Mar 2001
Spider-Man,19 Sep 2001
Silent Hunter II,6 Nov 2001
Silent Hill 2,24 Sep 2001
NHL 2004,22 Sep 2003
New World Order,18 Mar 2003
Neverwinter Nights: Shadows of Undrentide,27 Jun 2003
Neverwinter Nights: Hordes of the Underdark,5 Dec 2003
Neighbours from Hell,22 Sep 2003
Need for Speed: Underground,28 Nov 2003
Planetside,20 May 2003
Pirates of the Caribbean,30 Jun 2003
Patrician III,31 Oct 2003
Pacman Worlds,1 Jul 2003
Outlaw Golf,30 Sep 2003
Nosferatu: The Wrath Of Malachi,21 Oct 2003
V-Rally 3,21 Jun 2002
Unreal Tournament 2003,1 Oct 2002
Ultima Online: Lord Blackthorns Revenge,24 Feb 2002
RC Cars,11 Dec 2003
Rayman 3: Hoodlum Havoc,21 Feb 2003
Railroad Tycoon 3,27 Oct 2003
Ragnarok Online,1 Jun 2003
Puzzle Pirates,8 Dec 2003
Project IGI 2,3 Mar 2003
Prince of Persia: The Sands of Time,6 Nov 2003
Praetorians,10 Mar 2003
Power Mad,28 Apr 2003
Postal 2,13 Apr 2003
Post Mortem,28 Feb 2003
Port Royale: Gold Power and Pirates,4 Jun 2003
ZanZarah: The Hidden Portal,26 Apr 2002
WWE Raw,14 Oct 2002
Worms Blast,23 Oct 2002
Warrior Kings,13 Apr 2002
Warlords Battlecry II,12 Mar 2002
Warcraft 3: Reign Of Chaos,5 Jul 2002
Zoo Tycoon,17 Oct 2001
